go
Launcher pod spec file: .nextflow.pod.yaml
Pod submitted: eo-experiment-r8-n15-e3 .. waiting to start[2KPod started: eo-experiment-r8-n15-e3
N E X T F L O W  ~  version 21.04.0-edge
Launching `/workdir/B5-Workflow-Earth-Observation/EO-01/workflow-dsl2.nf` [eo-experiment-r8-n15-e3] - revision: 95e4f03f65
WARN: It appears you have never run this project before -- Option `-resume` is ignored
input data path: '/data/b5/eo-01'
[79/7ff24b] Submitted process > preprocessing:generateTileAllowList
[cc/805736] Submitted process > preprocessing:generateAnalysisMask
[e6/73ec96] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980421_20180210_01_T1)
[ae/289a21] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20040811_20180309_01_T1)
[25/6ba7e4] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20000824_20170210_01_T1)
[ff/0a6284] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980523_20180210_01_T1)
[a3/1374c9] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20010320_20170206_01_T1)
[10/b894be] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19911128_20180302_01_T1)
[6b/46a25b] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19970301_20180210_01_T1)
[3a/cd8ac9] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19921216_20170504_01_T1)
[02/bfc1a3] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20030105_20170127_01_T1)
[ae/89e3d0] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980811_20170717_01_T1)
[0b/e248de] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19950718_20180210_01_T1)
[cc/e808e8] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20010616_20180311_01_T1)
[16/313dad] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19960501_20180210_01_T1)
[97/0f3dbf] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19950429_20180210_01_T1)
[11/0de0e1] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19951022_20180210_01_T1)
[d2/a4d082] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19910317_20180210_01_T1)
[31/b2a050] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980304_20180210_01_T1)
[6d/8759d1] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_19990923_20170217_01_T1)
[86/ffeaf0] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19960110_20180210_01_T1)
[cd/f9af8b] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19920522_20180210_01_T1)
[d9/98d4ab] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19900602_20180210_01_T1)
[be/ae6194] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19940917_20180210_01_T1)
[a5/15ab44] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20020307_20170131_01_T1)
[17/882a8b] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19860607_20180210_01_T1)
[84/1244ab] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19991102_20180210_01_T1)
[03/3cd81f] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20050923_20170112_01_T1)
[73/4c998c] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20010216_20170206_01_T1)
[dc/86b9a3] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20010123_20180311_01_T1)
[a4/515c94] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19861130_20170215_01_T1)
[f3/5e14db] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19870423_20170213_01_T1)
[65/0decad] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19940715_20180616_01_T1)
[35/67438b] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20050323_20180128_01_T1)
[88/9fce48] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19870509_20170213_01_T1)
[5d/be3973] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20000925_20170209_01_T1)
[ba/e810ae] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19990627_20180210_01_T1)
[e7/1cdfb8] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20030817_20170125_01_T1)
[54/0736b8] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20010515_20180311_01_T1)
[7c/267bcb] Submitted process > preprocessing:preprocess (LT04_L1TP_183035_19891216_20170201_01_T1)
[4f/bdd094] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20020713_20170129_01_T1)
