go
Launcher pod spec file: .nextflow.pod.yaml
Pod submitted: eo-experiment-r5-n14-e2 .. waiting to start[2KPod started: eo-experiment-r5-n14-e2
N E X T F L O W  ~  version 21.04.0-edge
Launching `/workdir/B5-Workflow-Earth-Observation/EO-01/workflow-dsl2.nf` [eo-experiment-r5-n14-e2] - revision: 95e4f03f65
WARN: It appears you have never run this project before -- Option `-resume` is ignored
input data path: '/data/b5/eo-01'
[00/437d7f] Submitted process > preprocessing:generateTileAllowList
[d6/6ac82a] Submitted process > preprocessing:generateAnalysisMask
[92/350059] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980421_20180210_01_T1)
[c5/d97c00] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20040811_20180309_01_T1)
[14/a1e523] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20000824_20170210_01_T1)
[2d/055302] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980523_20180210_01_T1)
[c0/4fd4e7] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20010320_20170206_01_T1)
[b1/430662] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19911128_20180302_01_T1)
[69/966f0c] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19970301_20180210_01_T1)
[77/834cf5] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19921216_20170504_01_T1)
[41/7cc090] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20030105_20170127_01_T1)
[fb/8e461b] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980811_20170717_01_T1)
[fb/63b4a8] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19950718_20180210_01_T1)
[f6/a9b800] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20010616_20180311_01_T1)
[93/c0a3dc] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19960501_20180210_01_T1)
[46/e76675] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19950429_20180210_01_T1)
[49/1ece28] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19951022_20180210_01_T1)
[68/45448c] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19910317_20180210_01_T1)
[d5/4f2994] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980304_20180210_01_T1)
[eb/63c118] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_19990923_20170217_01_T1)
[52/0fb806] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19960110_20180210_01_T1)
[03/502c84] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19920522_20180210_01_T1)
[7b/69a4fd] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19900602_20180210_01_T1)
[a0/a16e3c] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19940917_20180210_01_T1)
[d6/e5b3ca] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20020307_20170131_01_T1)
[45/b68b89] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19860607_20180210_01_T1)
[b9/895960] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19991102_20180210_01_T1)
[ba/227eb4] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20050923_20170112_01_T1)
[3b/17cfec] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20010216_20170206_01_T1)
[d2/0f03da] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20010123_20180311_01_T1)
[6d/f8c115] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19861130_20170215_01_T1)
[6d/1f3490] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19870423_20170213_01_T1)
[d9/a7491c] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19940715_20180616_01_T1)
[4c/ac1557] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20050323_20180128_01_T1)
[75/e10441] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19870509_20170213_01_T1)
[a2/fbcbc3] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20000925_20170209_01_T1)
[89/8f962e] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19990627_20180210_01_T1)
[a5/a38a88] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20030817_20170125_01_T1)
[de/5de5e6] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20010515_20180311_01_T1)
[09/068049] Submitted process > preprocessing:preprocess (LT04_L1TP_183035_19891216_20170201_01_T1)
[32/29377e] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20020713_20170129_01_T1)
