go
Launcher pod spec file: .nextflow.pod.yaml
Pod submitted: eo-experiment-r5-n20-e3 .. waiting to start[2KPod started: eo-experiment-r5-n20-e3
N E X T F L O W  ~  version 21.04.0-edge
Launching `/workdir/B5-Workflow-Earth-Observation/EO-01/workflow-dsl2.nf` [eo-experiment-r5-n20-e3] - revision: 95e4f03f65
WARN: It appears you have never run this project before -- Option `-resume` is ignored
input data path: '/data/b5/eo-01'
[02/ce42c3] Submitted process > preprocessing:generateAnalysisMask
[53/09ba0e] Submitted process > preprocessing:generateTileAllowList
[54/3f76cd] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20040811_20180309_01_T1)
[b6/6f2cdf] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980421_20180210_01_T1)
[cc/6fc288] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20000824_20170210_01_T1)
[1f/c2251b] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980523_20180210_01_T1)
[88/635544] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20010320_20170206_01_T1)
[78/80c0e7] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19911128_20180302_01_T1)
[f1/dd235c] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19970301_20180210_01_T1)
[1d/968a1a] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19921216_20170504_01_T1)
[f8/a2c462] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20030105_20170127_01_T1)
[ae/4f8bdf] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980811_20170717_01_T1)
[89/faf59d] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19950718_20180210_01_T1)
[c9/66024f] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20010616_20180311_01_T1)
[7d/4f64a7] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19960501_20180210_01_T1)
[0b/3a61a1] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19950429_20180210_01_T1)
[f1/fbfe56] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19951022_20180210_01_T1)
[f6/f1321b] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19910317_20180210_01_T1)
[e0/f0a1f4] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980304_20180210_01_T1)
[e0/feba87] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_19990923_20170217_01_T1)
[e5/d4f990] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19960110_20180210_01_T1)
[80/f090d2] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19920522_20180210_01_T1)
[91/1908ba] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19900602_20180210_01_T1)
[2a/765257] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19940917_20180210_01_T1)
[ef/5efabf] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20020307_20170131_01_T1)
[e6/bfed4b] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19860607_20180210_01_T1)
[db/00d758] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19991102_20180210_01_T1)
[05/5c8230] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20050923_20170112_01_T1)
[9f/ae236b] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20010216_20170206_01_T1)
[1d/0c3635] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20010123_20180311_01_T1)
[16/ba0500] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19861130_20170215_01_T1)
[a2/3a3a1e] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19870423_20170213_01_T1)
[35/a75d15] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19940715_20180616_01_T1)
[60/83b07f] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20050323_20180128_01_T1)
[2f/8bed18] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19870509_20170213_01_T1)
[46/524bfe] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20000925_20170209_01_T1)
[90/5e5ff9] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19990627_20180210_01_T1)
[32/c910c9] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20030817_20170125_01_T1)
[bc/235122] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20010515_20180311_01_T1)
[2a/c21e40] Submitted process > preprocessing:preprocess (LT04_L1TP_183035_19891216_20170201_01_T1)
