go
Launcher pod spec file: .nextflow.pod.yaml
Pod submitted: eo-experiment-r5-n14-e1 .. waiting to start[2KPod started: eo-experiment-r5-n14-e1
N E X T F L O W  ~  version 21.04.0-edge
Launching `/workdir/B5-Workflow-Earth-Observation/EO-01/workflow-dsl2.nf` [eo-experiment-r5-n14-e1] - revision: 95e4f03f65
WARN: It appears you have never run this project before -- Option `-resume` is ignored
input data path: '/data/b5/eo-01'
[f6/15793f] Submitted process > preprocessing:generateAnalysisMask
[02/ae2672] Submitted process > preprocessing:generateTileAllowList
[f5/3123f2] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20040811_20180309_01_T1)
[04/e149a7] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980421_20180210_01_T1)
[55/dbd999] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20000824_20170210_01_T1)
[c4/cfd559] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980523_20180210_01_T1)
[ae/357e72] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20010320_20170206_01_T1)
[20/c7d653] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19911128_20180302_01_T1)
[8c/64b077] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19970301_20180210_01_T1)
[07/214091] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19921216_20170504_01_T1)
[07/c811fd] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20030105_20170127_01_T1)
[06/5f8e1d] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980811_20170717_01_T1)
[0e/f24686] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19950718_20180210_01_T1)
[65/f594d9] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20010616_20180311_01_T1)
[dc/53db37] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19960501_20180210_01_T1)
[e3/72b59e] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19951022_20180210_01_T1)
[54/d85fb8] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19950429_20180210_01_T1)
[57/9247e8] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19910317_20180210_01_T1)
[e7/9cc187] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980304_20180210_01_T1)
[12/35fe8d] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_19990923_20170217_01_T1)
[e1/755fc5] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19960110_20180210_01_T1)
[9e/d763ad] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19920522_20180210_01_T1)
[85/e29439] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19900602_20180210_01_T1)
[3a/59ff63] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19940917_20180210_01_T1)
[af/617f82] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20020307_20170131_01_T1)
[b4/cee349] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19860607_20180210_01_T1)
[c7/83ec14] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19991102_20180210_01_T1)
[27/ba6527] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20050923_20170112_01_T1)
[ef/a4e184] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20010216_20170206_01_T1)
[7f/1efb31] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20010123_20180311_01_T1)
[ea/356337] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19861130_20170215_01_T1)
[fa/d1c60e] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19870423_20170213_01_T1)
[3a/908312] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19940715_20180616_01_T1)
[99/e1f777] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20050323_20180128_01_T1)
[54/8eb0c9] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19870509_20170213_01_T1)
[54/1841a3] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20000925_20170209_01_T1)
[c1/6ba757] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19990627_20180210_01_T1)
[64/ed49e8] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20030817_20170125_01_T1)
[5c/b81496] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20010515_20180311_01_T1)
[5a/771038] Submitted process > preprocessing:preprocess (LT04_L1TP_183035_19891216_20170201_01_T1)
[d3/737ff4] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20020713_20170129_01_T1)
